"","X.x","Beta","model","out","exposure","pop","X.y","se","iqr","Lower","Upper","beta_exp","Lower_exp","Upper_exp","beta_ci"
"44","ndvi_summer",-0.0761539992130398,"model 5","cvd","ndvi_summer","urban","se_ndvi",0.0185204549019975,0.274767457777641,-0.112453423798253,-0.0398545746278264,0.979292760543695,0.969573939724205,0.989109000935072,"0.98 (0.97, 0.99)"
"45","occur_bs_1000m",0.0362565024305895,"model 5","cvd","occur_bs_1000m","urban","se_bs",0.0188795400196827,0.0322254268358965,-0.000746716052671209,0.0732597209138502,1.0011690640897,0.999975937045995,1.00236361471981,"1 (1, 1)"
"46","park",-0.268134069472451,"model 1","res","park","urban","se_park",0.0239483317829032,0.159118870754791,-0.315071937256757,-0.221196201688145,0.958232161744462,0.95110207209818,0.965415703254487,"0.96 (0.95, 0.97)"
"47","ndvi_summer",0.0671284588952165,"model 1","res","ndvi_summer","urban","se_ndvi",0.0237509765199718,0.274767457777641,0.0205774003184153,0.113679517472018,1.01861587044824,1.00567001399788,1.03172837718834,"1.02 (1.01, 1.03)"
"48","occur_bs_1000m",-0.0659400303656348,"model 1","res","occur_bs_1000m","urban","se_bs",0.0294579001739246,0.0322254268358965,-0.123676453766703,-0.0082036069645664,0.997877310474536,0.996022405157815,0.999735670205251,"1 (1, 1)"
"49","park",-0.0675446491240279,"model 2","res","park","urban","se_park",0.0211352436637988,0.159118870754791,-0.108968965509552,-0.0261203327385039,0.989309921105123,0.982810436994284,0.995852387353836,"0.99 (0.98, 1)"
"50","ndvi_summer",0.0750912170208729,"model 2","res","ndvi_summer","urban","se_ndvi",0.0234268825559074,0.274767457777641,0.0291753709412448,0.121007063100501,1.02084694684861,1.00804866021138,1.03380772181336,"1.02 (1.01, 1.03)"
"51","occur_bs_1000m",0.047519343481897,"model 2","res","occur_bs_1000m","urban","se_bs",0.0247298868301908,0.0322254268358965,-0.000950344047028359,0.0959890310108224,1.00153250421289,0.999969375226392,1.00309807664645,"1 (1, 1)"
"52","park",-0.0467466739446646,"model 3","res","park","urban","se_park",0.0201834899753221,0.159118870754791,-0.0863055873786211,-0.00718776051070807,0.992589317556504,0.986361017777203,0.998856945449389,"0.99 (0.99, 1)"
"53","ndvi_summer",0.00774668254762423,"model 3","res","ndvi_summer","urban","se_ndvi",0.025075201521296,0.274767457777641,-0.0413998093391999,0.0568931744344484,1.00213080321128,0.988689133964376,1.01575521794,"1 (0.99, 1.02)"
"54","occur_bs_1000m",0.0356622093774343,"model 3","res","occur_bs_1000m","urban","se_bs",0.0239986490994693,0.0322254268358965,-0.0113742785351401,0.0826986972900087,1.00114989053685,0.999633526187193,1.0026685550903,"1 (1, 1)"
"55","park",-0.0432038428054159,"model 4","res","park","urban","se_park",0.020341902234557,0.159118870754791,-0.0830732385621825,-0.00333444704864934,0.993149028961675,0.986868461049369,0.99946956728023,"0.99 (0.99, 1)"
"56","ndvi_summer",0.00879857351652898,"model 4","res","ndvi_summer","urban","se_ndvi",0.024522603462424,0.274767457777641,-0.0392648460769793,0.0568619931100372,1.00242048633581,0.989269287377637,1.01574651537943,"1 (0.99, 1.02)"
"57","occur_bs_1000m",0.00767066310842635,"model 4","res","occur_bs_1000m","urban","se_bs",0.0246888892791226,0.0322254268358965,-0.040718670696951,0.0560599969138037,1.00024722094685,0.998688683983812,1.00180819013676,"1 (1, 1)"
"58","park",-0.0308030102474504,"model 5","res","park","urban","se_park",0.0210315518530725,0.159118870754791,-0.0720240944184591,0.0104180739235583,0.995110651761249,0.988605027575924,1.00165908692251,"1 (0.99, 1)"
"59","ndvi_summer",0.0640779245791317,"model 5","res","ndvi_summer","urban","se_ndvi",0.0256699760025614,0.274767457777641,0.0137656961301039,0.114390153028159,1.01776243701694,1.00378952750109,1.03192985165064,"1.02 (1, 1.03)"
"60","occur_bs_1000m",0.0236077921917619,"model 5","res","occur_bs_1000m","urban","se_bs",0.0254098738139818,0.0322254268358965,-0.0261946453353498,0.0734102297188736,1.00076106063983,0.999156222553815,1.00236847640611,"1 (1, 1)"
